模型名字,价格
THUDM/glm-4-9b-chat,¥8/M Tokens
Qwen/Qwen2-7B-Instruct,¥8/M Tokens
internlm/internlm2_5-7b-chat,¥8/M Tokens
Pro/Qwen/Qwen2-7B-Instruct,¥8/M Tokens
Pro/THUDM/glm-4-9b-chat,¥8/M Tokens
deepseek-ai/DeepSeek-V2.5,¥8/M Tokens
Qwen/Qwen2.5-72B-Instruct,¥8/M Tokens
Qwen/Qwen2.5-7B-Instruct,¥8/M Tokens
Qwen/Qwen2.5-14B-Instruct,¥8/M Tokens
Qwen/Qwen2.5-32B-Instruct,¥8/M Tokens
Qwen/Qwen2.5-Coder-7B-Instruct,¥8/M Tokens
Pro/Qwen/Qwen2.5-7B-Instruct,¥8/M Tokens
Qwen/Qwen2.5-72B-Instruct-128K,¥8/M Tokens
Qwen/Qwen2-VL-72B-Instruct,¥8/M Tokens
LoRA/Qwen/Qwen2.5-7B-Instruct,¥8/M Tokens
Pro/Qwen/Qwen2.5-Coder-7B-Instruct,¥8/M Tokens
LoRA/Qwen/Qwen2.5-72B-Instruct,¥8/M Tokens
Qwen/Qwen2.5-Coder-32B-Instruct,¥8/M Tokens
LoRA/Qwen/Qwen2.5-14B-Instruct,¥8/M Tokens
LoRA/Qwen/Qwen2.5-32B-Instruct,¥8/M Tokens
Qwen/QVQ-72B-Preview,¥16/M Tokens
deepseek-ai/DeepSeek-V3,¥8/M Tokens
deepseek-ai/DeepSeek-R1,¥16/M Tokens
Pro/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,¥8/M Tokens
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,¥8/M Tokens
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,¥8/M Tokens
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,¥8/M Tokens
Pro/deepseek-ai/DeepSeek-R1,¥16/M Tokens
Pro/deepseek-ai/DeepSeek-V3,¥8/M Tokens
Qwen/QwQ-32B,¥8/M Tokens
THUDM/GLM-Z1-32B-0414,¥8/M Tokens
THUDM/GLM-4-32B-0414,¥8/M Tokens
SeedLLM/Seed-Rice-7B,¥8/M Tokens
THUDM/GLM-Z1-9B-0414,¥16/M Tokens
THUDM/GLM-4-9B-0414,¥16/M Tokens
THUDM/GLM-Z1-Rumination-32B-0414,¥16/M Tokens
Qwen/Qwen3-14B,¥16/M Tokens
Qwen/Qwen3-32B,¥16/M Tokens
Qwen/Qwen3-30B-A3B,¥16/M Tokens
Tongyi-Zhiwen/QwenLong-L1-32B,¥16/M Tokens
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,¥16/M Tokens
MiniMaxAI/MiniMax-M1-80k,¥16/M Tokens
moonshotai/Kimi-Dev-72B,¥16/M Tokens
tencent/Hunyuan-A13B-Instruct,¥16/M Tokens
baidu/ERNIE-4.5-300B-A47B,¥16/M Tokens
ascend-tribe/pangu-pro-moe,¥16/M Tokens
Qwen/Qwen3-235B-A22B-Instruct-2507,¥16/M Tokens
Qwen/Qwen3-Coder-480B-A35B-Instruct,¥16/M Tokens
Qwen/Qwen3-235B-A22B-Thinking-2507,¥16/M Tokens
zai-org/GLM-4.5-Air,¥16/M Tokens
Qwen/Qwen3-30B-A3B-Instruct-2507,¥16/M Tokens
Qwen/Qwen3-30B-A3B-Thinking-2507,¥16/M Tokens
Qwen/Qwen3-Coder-30B-A3B-Instruct,¥16/M Tokens
stepfun-ai/step3,¥16/M Tokens
ByteDance-Seed/Seed-OSS-36B-Instruct,¥16/M Tokens
moonshotai/Kimi-K2-Instruct-0905,¥16/M Tokens
Pro/moonshotai/Kimi-K2-Instruct-0905,¥16/M Tokens
inclusionAI/Ling-mini-2.0,¥16/M Tokens
tencent/Hunyuan-MT-7B,¥16/M Tokens
Qwen/Qwen3-Next-80B-A3B-Instruct,¥16/M Tokens
inclusionAI/Ling-flash-2.0,¥16/M Tokens
inclusionAI/Ring-flash-2.0,¥16/M Tokens
Qwen/Qwen3-Next-80B-A3B-Thinking,¥16/M Tokens
Pro/deepseek-ai/DeepSeek-V3.1-Terminus,¥16/M Tokens
deepseek-ai/DeepSeek-V3.1-Terminus,¥16/M Tokens
Qwen/Qwen3-Omni-30B-A3B-Instruct,¥16/M Tokens
Qwen/Qwen3-Omni-30B-A3B-Thinking,¥16/M Tokens
Qwen/Qwen3-Omni-30B-A3B-Captioner,¥16/M Tokens
zai-org/GLM-4.6,¥16/M Tokens
Qwen/Qwen3-8B,¥16/M Tokens
deepseek-ai/DeepSeek-OCR,¥16/M Tokens
Kwaipilot/KAT-Dev,¥16/M Tokens
MiniMaxAI/MiniMax-M2,¥16/M Tokens
moonshotai/Kimi-K2-Thinking,¥16/M Tokens
Pro/moonshotai/Kimi-K2-Thinking,¥16/M Tokens
Pro/deepseek-ai/DeepSeek-V3.2,¥8/M Tokens
deepseek-ai/DeepSeek-V3.2,¥8/M Tokens
Pro/zai-org/GLM-4.7,¥16/M Tokens

