模型名字,价格
Qwen/Qwen2-VL-72B-Instruct,¥8/M Tokens
deepseek-ai/deepseek-vl2,¥8/M Tokens
Qwen/Qwen2.5-VL-72B-Instruct,¥16/M Tokens
Pro/Qwen/Qwen2.5-VL-7B-Instruct,¥8/M Tokens
Qwen/Qwen2.5-VL-32B-Instruct,¥8/M Tokens
THUDM/GLM-4.1V-9B-Thinking,¥16/M Tokens
Pro/THUDM/GLM-4.1V-9B-Thinking,¥16/M Tokens
zai-org/GLM-4.6V,¥8/M Tokens
zai-org/GLM-4.5V,¥16/M Tokens
Qwen/Qwen3-VL-30B-A3B-Instruct,¥16/M Tokens
Qwen/Qwen3-VL-30B-A3B-Thinking,¥16/M Tokens
Qwen/Qwen3-VL-235B-A22B-Instruct,¥16/M Tokens
Qwen/Qwen3-VL-235B-A22B-Thinking,¥16/M Tokens
Qwen/Qwen3-VL-8B-Instruct,¥16/M Tokens
Qwen/Qwen3-VL-8B-Thinking,¥16/M Tokens
Qwen/Qwen3-VL-32B-Instruct,¥16/M Tokens
Qwen/Qwen3-VL-32B-Thinking,¥16/M Tokens
